Timestamp,Air extérieur,Température dissipateur,
2025-03-28 13:17:43,19,17,
2025-03-28 13:17:44,20,15,
2025-03-28 13:17:45,20,12,
2025-03-28 13:17:46,20,9,
2025-03-28 13:17:47,20,8,
2025-03-28 13:17:48,20,8,
2025-03-28 13:17:49,19,10,
2025-03-28 13:17:50,20,10,
2025-03-28 13:17:51,20,6,
2025-03-28 13:17:52,19,1,
2025-03-28 13:17:53,20,0,
2025-03-28 13:17:54,20,0,
2025-03-28 13:17:55,20,-1,
2025-03-28 13:17:56,20,-1,
2025-03-28 13:17:57,20,-1,
2025-03-28 13:17:58,20,-2,
2025-03-28 13:17:59,20,-4,
2025-03-28 13:18:00,19,-4,
2025-03-28 13:18:01,20,-4,
2025-03-28 13:18:02,20,-4,
2025-03-28 13:18:03,20,-4,
2025-03-28 13:18:04,20,-4,
2025-03-28 13:18:05,20,-4,
2025-03-28 13:18:06,19,-4,
2025-03-28 13:18:07,19,-4,
2025-03-28 13:18:08,19,-5,
2025-03-28 13:18:09,19,-5,
2025-03-28 13:18:10,19,-5,
2025-03-28 13:18:11,19,-5,
2025-03-28 13:18:12,19,-6,
2025-03-28 13:18:13,19,-5,
2025-03-28 13:18:14,19,-6,
2025-03-28 13:18:15,19,-5,
2025-03-28 13:18:17,20,-6,
2025-03-28 13:18:18,19,-6,
2025-03-28 13:18:19,19,-6,
2025-03-28 13:18:20,19,-6,
2025-03-28 13:18:21,19,-7,
2025-03-28 13:18:22,19,-8,
2025-03-28 13:18:23,19,-6,
2025-03-28 13:18:24,19,-6,
2025-03-28 13:18:25,19,-6,
2025-03-28 13:18:26,19,-7,
2025-03-28 13:18:27,19,-6,
2025-03-28 13:18:28,19,-6,
2025-03-28 13:18:29,19,-6,
2025-03-28 13:18:30,19,-6,
2025-03-28 13:18:31,19,-6,
2025-03-28 13:18:32,19,-6,
2025-03-28 13:18:33,19,-6,
2025-03-28 13:18:34,19,-6,
2025-03-28 13:18:35,19,-5,
2025-03-28 13:18:36,19,-4,
2025-03-28 13:18:37,19,-5,
2025-03-28 13:18:38,19,-5,
2025-03-28 13:18:39,19,-5,
2025-03-28 13:18:40,19,-5,
2025-03-28 13:18:41,19,-5,
2025-03-28 13:18:42,19,-5,
2025-03-28 13:18:43,19,-5,
2025-03-28 13:18:44,19,-6,
2025-03-28 13:18:45,19,-5,
2025-03-28 13:18:46,19,-6,
2025-03-28 13:18:47,20,-6,
2025-03-28 13:18:48,19,-7,
2025-03-28 13:18:49,19,-8,
2025-03-28 13:18:50,19,-7,
2025-03-28 13:18:51,19,-7,
2025-03-28 13:18:52,19,-7,
2025-03-28 13:18:53,19,-7,
2025-03-28 13:18:54,19,-7,
2025-03-28 13:18:55,19,-7,
2025-03-28 13:18:56,20,-8,
2025-03-28 13:18:57,19,-8,
2025-03-28 13:18:58,19,-7,
2025-03-28 13:18:59,20,-8,
2025-03-28 13:19:00,19,-8,
2025-03-28 13:19:01,19,-7,
2025-03-28 13:19:02,19,-8,
2025-03-28 13:19:03,19,-8,
2025-03-28 13:19:04,19,-8,
2025-03-28 13:19:05,19,-8,
2025-03-28 13:19:06,19,-8,
2025-03-28 13:19:07,19,-8,
2025-03-28 13:19:09,20,-9,
2025-03-28 13:19:10,19,-8,
2025-03-28 13:19:11,20,-8,
2025-03-28 13:19:12,20,-9,
2025-03-28 13:19:13,20,-8,
2025-03-28 13:19:14,20,-9,
2025-03-28 13:19:15,20,-9,
2025-03-28 13:19:16,20,-9,
2025-03-28 13:19:17,20,-11,
2025-03-28 13:19:18,19,-9,
2025-03-28 13:19:19,20,-9,
2025-03-28 13:19:20,20,-9,
2025-03-28 13:19:21,19,-9,
2025-03-28 13:19:22,20,-9,
2025-03-28 13:19:23,20,-9,
2025-03-28 13:19:24,20,-9,
2025-03-28 13:19:25,20,-9,
2025-03-28 13:19:26,20,-9,
2025-03-28 13:19:27,20,-9,
2025-03-28 13:19:28,20,-9,
2025-03-28 13:19:29,20,-10,
2025-03-28 13:19:30,20,-10,
2025-03-28 13:19:31,19,-9,
2025-03-28 13:19:32,20,-10,
2025-03-28 13:19:33,20,-10,
2025-03-28 13:19:34,19,-10,
2025-03-28 13:19:35,20,-9,
2025-03-28 13:19:36,20,-10,
2025-03-28 13:19:37,20,-10,
2025-03-28 13:19:38,19,-12,
2025-03-28 13:19:39,20,-10,
2025-03-28 13:19:40,20,-10,
2025-03-28 13:19:41,20,-11,
2025-03-28 13:19:42,20,-10,
2025-03-28 13:19:43,20,-10,
2025-03-28 13:19:44,20,-10,
2025-03-28 13:19:45,20,-11,
2025-03-28 13:19:46,20,-10,
2025-03-28 13:19:47,19,-11,
2025-03-28 13:19:48,20,-10,
2025-03-28 13:19:49,20,-10,
2025-03-28 13:19:50,20,-10,
2025-03-28 13:19:51,20,-11,
2025-03-28 13:19:52,20,-10,
2025-03-28 13:19:53,20,-12,
2025-03-28 13:19:54,19,-12,
2025-03-28 13:19:55,20,-10,
2025-03-28 13:19:56,19,-12,
2025-03-28 13:19:57,20,-12,
2025-03-28 13:19:58,20,-12,
2025-03-28 13:20:00,20,-11,
2025-03-28 13:20:01,20,-8,
2025-03-28 13:20:02,20,-10,
2025-03-28 13:20:03,19,-10,
2025-03-28 13:20:04,20,-10,
2025-03-28 13:20:05,19,-11,
2025-03-28 13:20:06,19,-9,
2025-03-28 13:20:07,20,-11,
2025-03-28 13:20:08,19,-12,
2025-03-28 13:20:09,20,-11,
2025-03-28 13:20:10,20,-11,
2025-03-28 13:20:11,19,-12,
2025-03-28 13:20:12,20,-12,
2025-03-28 13:20:13,19,-12,
2025-03-28 13:20:14,19,-12,
2025-03-28 13:20:15,19,-11,
2025-03-28 13:20:16,19,-12,
2025-03-28 13:20:17,19,-12,
2025-03-28 13:20:18,19,-12,
2025-03-28 13:20:19,20,-11,
2025-03-28 13:20:20,19,-12,
2025-03-28 13:20:21,20,-12,
2025-03-28 13:20:22,20,-12,
2025-03-28 13:20:23,19,-12,
2025-03-28 13:20:24,19,-11,
2025-03-28 13:20:25,19,-12,
2025-03-28 13:20:26,20,-12,
2025-03-28 13:20:27,19,-12,
2025-03-28 13:20:28,19,-11,
2025-03-28 13:20:29,20,-13,
2025-03-28 13:20:30,19,-13,
2025-03-28 13:20:31,19,-12,
2025-03-28 13:20:32,19,-12,
2025-03-28 13:20:33,19,-12,
2025-03-28 13:20:34,19,-12,
2025-03-28 13:20:35,20,-12,
2025-03-28 13:20:36,19,-13,
2025-03-28 13:20:38,20,-12,
2025-03-28 13:20:39,20,-12,
2025-03-28 13:20:40,19,-13,
2025-03-28 13:20:41,19,-12,
2025-03-28 13:20:42,20,-12,
2025-03-28 13:20:43,20,-14,
2025-03-28 13:20:44,20,-14,
2025-03-28 13:20:45,20,-12,
2025-03-28 13:20:46,20,-12,
2025-03-28 13:20:47,20,-13,
2025-03-28 13:20:48,20,-12,
2025-03-28 13:20:49,19,-14,
2025-03-28 13:20:50,19,-13,
2025-03-28 13:20:51,19,-12,
2025-03-28 13:20:52,19,-13,
2025-03-28 13:20:53,19,-13,
2025-03-28 13:20:54,20,-14,
2025-03-28 13:20:55,19,-12,
2025-03-28 13:20:56,19,-14,
2025-03-28 13:20:57,19,-13,
2025-03-28 13:20:58,19,-13,
2025-03-28 13:20:59,19,-13,
2025-03-28 13:21:00,19,-12,
2025-03-28 13:21:01,19,-13,
2025-03-28 13:21:02,20,-13,
2025-03-28 13:21:03,19,-13,
2025-03-28 13:21:04,20,-16,
2025-03-28 13:21:05,19,-13,
2025-03-28 13:21:06,19,-13,
2025-03-28 13:21:07,19,-12,
2025-03-28 13:21:08,19,-14,
2025-03-28 13:21:09,20,-13,
2025-03-28 13:21:10,19,-14,
2025-03-28 13:21:11,19,-13,
2025-03-28 13:21:12,19,-14,
2025-03-28 13:21:13,20,-14,
2025-03-28 13:21:15,19,-14,
2025-03-28 13:21:16,20,-13,
2025-03-28 13:21:17,20,-14,
2025-03-28 13:21:18,20,-14,
2025-03-28 13:21:19,20,-13,
2025-03-28 13:21:20,20,-14,
2025-03-28 13:21:21,20,-13,
2025-03-28 13:21:22,20,-13,
2025-03-28 13:21:23,20,-14,
2025-03-28 13:21:24,20,-14,
2025-03-28 13:21:25,20,-14,
2025-03-28 13:21:26,20,-14,
2025-03-28 13:21:27,20,-14,
2025-03-28 13:21:28,20,-13,
2025-03-28 13:21:29,20,-14,
2025-03-28 13:21:30,20,-13,
2025-03-28 13:21:31,20,-14,
2025-03-28 13:21:32,20,-14,
2025-03-28 13:21:33,20,-13,
2025-03-28 13:21:34,20,-14,
2025-03-28 13:21:35,20,-14,
2025-03-28 13:21:36,20,-14,
2025-03-28 13:21:37,20,-14,
2025-03-28 13:21:38,20,-14,
2025-03-28 13:21:39,20,-14,
2025-03-28 13:21:40,20,-13,
2025-03-28 13:21:41,20,-14,
2025-03-28 13:21:42,20,-14,
2025-03-28 13:21:43,20,-13,
2025-03-28 13:21:44,19,-14,
2025-03-28 13:21:45,19,-14,
2025-03-28 13:21:46,20,-14,
2025-03-28 13:21:47,19,-14,
2025-03-28 13:21:48,20,-14,
2025-03-28 13:21:49,20,-14,
2025-03-28 13:21:50,20,-14,
2025-03-28 13:21:51,19,-14,
2025-03-28 13:21:52,20,-14,
2025-03-28 13:21:54,19,-14,
2025-03-28 13:21:55,20,-14,
2025-03-28 13:21:56,20,-15,
2025-03-28 13:21:57,20,-14,
2025-03-28 13:21:58,20,-14,
2025-03-28 13:21:59,20,-14,
2025-03-28 13:22:00,20,-14,
2025-03-28 13:22:01,20,-14,
2025-03-28 13:22:02,19,-14,
2025-03-28 13:22:03,20,-14,
2025-03-28 13:22:04,20,-14,
2025-03-28 13:22:05,20,-13,
2025-03-28 13:22:06,20,-14,
2025-03-28 13:22:07,19,-14,
2025-03-28 13:22:08,20,-14,
2025-03-28 13:22:09,19,-14,
2025-03-28 13:22:10,20,-14,
2025-03-28 13:22:11,20,-15,
2025-03-28 13:22:12,20,-14,
2025-03-28 13:22:13,19,-14,
2025-03-28 13:22:14,19,-14,
2025-03-28 13:22:15,20,-14,
2025-03-28 13:22:16,20,-14,
2025-03-28 13:22:17,20,-16,
2025-03-28 13:22:18,20,-14,
2025-03-28 13:22:19,20,-14,
2025-03-28 13:22:20,20,-15,
2025-03-28 13:22:21,19,-15,
2025-03-28 13:22:22,20,-13,
2025-03-28 13:22:23,20,-14,
2025-03-28 13:22:24,20,-14,
2025-03-28 13:22:25,19,-14,
2025-03-28 13:22:26,20,-15,
2025-03-28 13:22:28,19,-14,
2025-03-28 13:22:29,20,-14,
2025-03-28 13:22:30,20,-14,
2025-03-28 13:22:31,19,-14,
2025-03-28 13:22:32,19,-14,
2025-03-28 13:22:33,19,-14,
2025-03-28 13:22:34,19,-14,
2025-03-28 13:22:35,19,-14,
2025-03-28 13:22:36,19,-14,
2025-03-28 13:22:37,19,-14,
2025-03-28 13:22:38,19,-14,
2025-03-28 13:22:39,19,-14,
2025-03-28 13:22:40,19,-14,
2025-03-28 13:22:41,19,-14,
2025-03-28 13:22:42,19,-14,
2025-03-28 13:22:43,20,-15,
2025-03-28 13:22:44,19,-14,
2025-03-28 13:22:45,19,-14,
2025-03-28 13:22:46,19,-14,
2025-03-28 13:22:47,19,-14,
2025-03-28 13:22:48,19,-14,
2025-03-28 13:22:49,19,-15,
2025-03-28 13:22:50,19,-15,
2025-03-28 13:22:51,19,-14,
2025-03-28 13:22:52,19,-14,
2025-03-28 13:22:53,19,-14,
2025-03-28 13:22:54,19,-14,
2025-03-28 13:22:55,19,-14,
2025-03-28 13:22:56,19,-14,
2025-03-28 13:22:57,19,-14,
2025-03-28 13:22:58,19,-14,
2025-03-28 13:22:59,19,-14,
2025-03-28 13:23:00,19,-13,
2025-03-28 13:23:01,19,-14,
2025-03-28 13:23:02,19,-14,
2025-03-28 13:23:03,19,-16,
2025-03-28 13:23:04,19,-15,
2025-03-28 13:23:05,20,-14,
2025-03-28 13:23:07,19,-14,
2025-03-28 13:23:08,19,-14,
2025-03-28 13:23:09,19,-14,
2025-03-28 13:23:10,19,-14,
2025-03-28 13:23:11,19,-14,
2025-03-28 13:23:12,19,-14,
2025-03-28 13:23:13,19,-14,
2025-03-28 13:23:14,19,-14,
2025-03-28 13:23:15,19,-15,
2025-03-28 13:23:16,19,-15,
2025-03-28 13:23:17,19,-14,
2025-03-28 13:23:18,19,-14,
2025-03-28 13:23:19,19,-14,
2025-03-28 13:23:20,19,-14,
2025-03-28 13:23:21,19,-15,
2025-03-28 13:23:22,19,-15,
2025-03-28 13:23:23,19,-14,
2025-03-28 13:23:24,19,-14,
2025-03-28 13:23:25,19,-14,
2025-03-28 13:23:26,19,-14,
2025-03-28 13:23:27,19,-15,
2025-03-28 13:23:28,19,-14,
2025-03-28 13:23:29,19,-14,
2025-03-28 13:23:30,20,-14,
2025-03-28 13:23:31,19,-14,
2025-03-28 13:23:32,20,-15,
2025-03-28 13:23:33,20,-15,
2025-03-28 13:23:34,19,-15,
2025-03-28 13:23:35,19,-15,
2025-03-28 13:23:36,19,-14,
2025-03-28 13:23:37,19,-14,
2025-03-28 13:23:38,19,-17,
2025-03-28 13:23:40,19,-15,
2025-03-28 13:23:41,19,-16,
2025-03-28 13:23:42,20,-16,
2025-03-28 13:23:43,19,-14,
2025-03-28 13:23:44,19,-14,
2025-03-28 13:23:45,19,-15,
2025-03-28 13:23:46,19,-14,
2025-03-28 13:23:47,19,-15,
2025-03-28 13:23:48,19,-15,
2025-03-28 13:23:49,19,-14,
2025-03-28 13:23:50,19,-15,
2025-03-28 13:23:51,19,-14,
2025-03-28 13:23:52,19,-14,
2025-03-28 13:23:53,19,-14,
2025-03-28 13:23:54,19,-15,
2025-03-28 13:23:55,19,-15,
2025-03-28 13:23:56,19,-14,
2025-03-28 13:23:57,19,-14,
2025-03-28 13:23:58,19,-14,
2025-03-28 13:23:59,20,-14,
2025-03-28 13:24:00,19,-15,
2025-03-28 13:24:01,19,-15,
2025-03-28 13:24:02,19,-13,
2025-03-28 13:24:03,20,-15,
2025-03-28 13:24:04,19,-14,
2025-03-28 13:24:05,19,-15,
2025-03-28 13:24:06,19,-14,
2025-03-28 13:24:07,19,-13,
2025-03-28 13:24:08,19,-15,
2025-03-28 13:24:09,19,-16,
2025-03-28 13:24:10,19,-15,
2025-03-28 13:24:11,19,-14,
2025-03-28 13:24:12,19,-14,
2025-03-28 13:24:13,19,-16,
2025-03-28 13:24:14,19,-16,
2025-03-28 13:24:15,19,-14,
2025-03-28 13:24:16,19,-14,
2025-03-28 13:24:17,19,-17,
