Timestamp,Air outside,"Température fan, peltier off"
2025-03-28 13:30:52,20,-16
2025-03-28 13:30:53,20,-13
2025-03-28 13:30:54,20,-14
2025-03-28 13:30:55,20,-14
2025-03-28 13:30:56,20,-14
2025-03-28 13:30:57,19,-14
2025-03-28 13:30:58,19,-14
2025-03-28 13:30:59,19,-14
2025-03-28 13:31:00,19,-14
2025-03-28 13:31:01,20,-17
2025-03-28 13:31:02,19,-12
2025-03-28 13:31:03,19,-12
2025-03-28 13:31:04,19,-9
2025-03-28 13:31:05,19,-5
2025-03-28 13:31:06,20,8
2025-03-28 13:31:07,19,10
2025-03-28 13:31:08,19,13
2025-03-28 13:31:09,20,16
2025-03-28 13:31:10,20,17
2025-03-28 13:31:11,19,17
2025-03-28 13:31:12,19,17
2025-03-28 13:31:13,19,17
2025-03-28 13:31:14,20,17
2025-03-28 13:31:15,19,18
2025-03-28 13:31:16,20,26
2025-03-28 13:31:17,19,29
2025-03-28 13:31:18,19,29
2025-03-28 13:31:19,19,31
2025-03-28 13:31:21,19,30
2025-03-28 13:31:22,19,28
2025-03-28 13:31:23,20,27
2025-03-28 13:31:24,19,26
2025-03-28 13:31:25,19,25
2025-03-28 13:31:26,19,24
2025-03-28 13:31:27,19,23
2025-03-28 13:31:28,19,27
2025-03-28 13:31:29,19,27
2025-03-28 13:31:30,19,26
2025-03-28 13:31:31,19,25
2025-03-28 13:31:32,19,25
2025-03-28 13:31:33,19,24
2025-03-28 13:31:34,19,24
2025-03-28 13:31:35,19,24
2025-03-28 13:31:36,19,23
2025-03-28 13:31:37,19,22
2025-03-28 13:31:38,19,22
2025-03-28 13:31:39,19,22
2025-03-28 13:31:40,19,21
2025-03-28 13:31:41,19,21
2025-03-28 13:31:42,19,20
2025-03-28 13:31:43,19,19
2025-03-28 13:31:44,19,20
2025-03-28 13:31:45,19,20
2025-03-28 13:31:46,19,19
2025-03-28 13:31:47,19,19
2025-03-28 13:31:48,19,19
2025-03-28 13:31:49,19,19
2025-03-28 13:31:50,19,19
2025-03-28 13:31:51,19,19
2025-03-28 13:31:52,19,18
2025-03-28 13:31:53,19,18
2025-03-28 13:31:54,19,18
2025-03-28 13:31:55,19,18
2025-03-28 13:31:56,19,18
2025-03-28 13:31:57,20,18
2025-03-28 13:31:58,19,18
2025-03-28 13:31:59,19,18
2025-03-28 13:32:00,19,18
2025-03-28 13:32:01,20,18
2025-03-28 13:32:02,20,18
2025-03-28 13:32:03,20,18
2025-03-28 13:32:04,20,18
2025-03-28 13:32:06,20,18
2025-03-28 13:32:07,20,18
2025-03-28 13:32:08,19,18
2025-03-28 13:32:09,20,18
2025-03-28 13:32:10,19,17
2025-03-28 13:32:11,19,18
2025-03-28 13:32:12,19,17
2025-03-28 13:32:13,19,18
2025-03-28 13:32:14,19,17
2025-03-28 13:32:15,19,18
2025-03-28 13:32:16,19,19
2025-03-28 13:32:17,20,18
2025-03-28 13:32:18,19,18
2025-03-28 13:32:19,20,18
2025-03-28 13:32:20,20,17
2025-03-28 13:32:21,20,18
2025-03-28 13:32:22,20,18
2025-03-28 13:32:23,19,18
2025-03-28 13:32:24,20,15
2025-03-28 13:32:25,20,13
2025-03-28 13:32:26,19,12
2025-03-28 13:32:27,20,11
2025-03-28 13:32:28,20,11
2025-03-28 13:32:29,20,9
2025-03-28 13:32:30,19,9
2025-03-28 13:32:31,20,9
2025-03-28 13:32:32,20,9
2025-03-28 13:32:33,20,9
2025-03-28 13:32:34,19,9
2025-03-28 13:32:35,20,8
2025-03-28 13:32:36,20,9
2025-03-28 13:32:37,20,9
2025-03-28 13:32:38,20,9
2025-03-28 13:32:39,20,9
2025-03-28 13:32:40,20,9
2025-03-28 13:32:41,20,9
2025-03-28 13:32:42,20,9
2025-03-28 13:32:43,20,10
2025-03-28 13:32:44,20,10
2025-03-28 13:32:45,20,10
2025-03-28 13:32:46,20,10
2025-03-28 13:32:47,20,10
2025-03-28 13:32:48,20,10
2025-03-28 13:32:49,20,10
2025-03-28 13:32:50,20,10
2025-03-28 13:32:52,20,10
2025-03-28 13:32:53,20,10
2025-03-28 13:32:54,20,10
2025-03-28 13:32:55,20,10
2025-03-28 13:32:56,19,10
2025-03-28 13:32:57,19,10
2025-03-28 13:32:58,20,11
2025-03-28 13:32:59,20,11
2025-03-28 13:33:00,20,11
2025-03-28 13:33:01,20,12
2025-03-28 13:33:02,19,10
2025-03-28 13:33:03,20,11
2025-03-28 13:33:04,20,10
2025-03-28 13:33:05,20,12
2025-03-28 13:33:06,20,12
2025-03-28 13:33:07,20,11
2025-03-28 13:33:08,20,11
2025-03-28 13:33:09,20,11
2025-03-28 13:33:10,20,11
2025-03-28 13:33:11,20,11
2025-03-28 13:33:12,20,11
2025-03-28 13:33:13,20,11
2025-03-28 13:33:14,20,11
2025-03-28 13:33:15,20,12
2025-03-28 13:33:16,20,12
2025-03-28 13:33:17,20,12
2025-03-28 13:33:18,20,12
2025-03-28 13:33:19,20,12
2025-03-28 13:33:20,20,12
2025-03-28 13:33:21,20,12
2025-03-28 13:33:22,20,12
2025-03-28 13:33:23,20,12
2025-03-28 13:33:24,20,12
2025-03-28 13:33:25,20,12
2025-03-28 13:33:26,20,11
2025-03-28 13:33:27,20,12
2025-03-28 13:33:28,20,12
2025-03-28 13:33:29,20,12
2025-03-28 13:33:30,20,12
2025-03-28 13:33:32,20,12
2025-03-28 13:33:33,20,12
2025-03-28 13:33:34,20,12
2025-03-28 13:33:35,20,12
2025-03-28 13:33:36,20,12
2025-03-28 13:33:37,20,12
2025-03-28 13:33:38,20,12
2025-03-28 13:33:39,20,13
2025-03-28 13:33:40,21,12
2025-03-28 13:33:41,20,12
2025-03-28 13:33:42,20,12
2025-03-28 13:33:43,20,12
2025-03-28 13:33:44,20,12
2025-03-28 13:33:45,20,12
2025-03-28 13:33:46,20,12
2025-03-28 13:33:47,20,12
2025-03-28 13:33:48,20,12
2025-03-28 13:33:49,19,12
2025-03-28 13:33:50,20,12
2025-03-28 13:33:51,20,12
2025-03-28 13:33:52,20,12
2025-03-28 13:33:53,20,12
2025-03-28 13:33:54,20,12
2025-03-28 13:33:55,20,12
2025-03-28 13:33:56,20,12
2025-03-28 13:33:57,20,12
2025-03-28 13:33:58,20,12
2025-03-28 13:33:59,21,12
2025-03-28 13:34:00,20,13
2025-03-28 13:34:01,20,13
2025-03-28 13:34:02,20,12
2025-03-28 13:34:03,20,13
2025-03-28 13:34:04,20,13
2025-03-28 13:34:05,20,13
2025-03-28 13:34:06,20,13
2025-03-28 13:34:08,20,12
2025-03-28 13:34:09,20,13
2025-03-28 13:34:10,20,13
2025-03-28 13:34:11,20,13
2025-03-28 13:34:12,20,13
2025-03-28 13:34:13,20,13
2025-03-28 13:34:14,20,13
2025-03-28 13:34:15,20,13
2025-03-28 13:34:16,20,12
2025-03-28 13:34:17,20,13
2025-03-28 13:34:18,20,13
2025-03-28 13:34:19,20,13
2025-03-28 13:34:20,20,13
2025-03-28 13:34:21,20,13
2025-03-28 13:34:22,20,15
2025-03-28 13:34:23,20,13
2025-03-28 13:34:24,20,13
2025-03-28 13:34:25,20,14
2025-03-28 13:34:26,20,14
2025-03-28 13:34:27,20,14
2025-03-28 13:34:28,20,13
2025-03-28 13:34:29,20,14
2025-03-28 13:34:30,20,13
2025-03-28 13:34:31,20,13
2025-03-28 13:34:32,20,14
2025-03-28 13:34:33,20,13
2025-03-28 13:34:34,20,12
2025-03-28 13:34:35,20,13
2025-03-28 13:34:36,20,13
2025-03-28 13:34:37,20,13
2025-03-28 13:34:38,20,14
2025-03-28 13:34:39,20,14
2025-03-28 13:34:40,20,13
2025-03-28 13:34:41,20,13
2025-03-28 13:34:42,20,13
2025-03-28 13:34:43,20,13
2025-03-28 13:34:44,20,13
2025-03-28 13:34:45,20,13
2025-03-28 13:34:46,20,14
2025-03-28 13:34:48,20,14
2025-03-28 13:34:49,20,13
2025-03-28 13:34:50,20,13
2025-03-28 13:34:51,20,13
2025-03-28 13:34:52,20,13
2025-03-28 13:34:53,20,14
2025-03-28 13:34:54,20,14
2025-03-28 13:34:55,20,14
2025-03-28 13:34:56,20,14
2025-03-28 13:34:57,21,14
2025-03-28 13:34:58,20,14
2025-03-28 13:34:59,20,14
2025-03-28 13:35:00,20,14
2025-03-28 13:35:01,20,14
2025-03-28 13:35:02,20,14
2025-03-28 13:35:03,20,14
2025-03-28 13:35:04,20,14
2025-03-28 13:35:05,20,14
2025-03-28 13:35:06,20,13
2025-03-28 13:35:07,20,14
2025-03-28 13:35:08,20,13
2025-03-28 13:35:09,20,14
2025-03-28 13:35:10,20,14
2025-03-28 13:35:11,20,14
2025-03-28 13:35:12,20,13
2025-03-28 13:35:13,20,14
2025-03-28 13:35:14,20,13
2025-03-28 13:35:15,20,14
2025-03-28 13:35:16,20,14
2025-03-28 13:35:17,20,14
2025-03-28 13:35:18,20,14
2025-03-28 13:35:19,20,14
2025-03-28 13:35:20,20,14
2025-03-28 13:35:21,20,14
2025-03-28 13:35:22,20,13
2025-03-28 13:35:23,20,14
2025-03-28 13:35:24,20,14
2025-03-28 13:35:26,20,13
2025-03-28 13:35:27,20,13
2025-03-28 13:35:28,20,14
2025-03-28 13:35:29,20,13
2025-03-28 13:35:30,20,13
2025-03-28 13:35:31,20,13
2025-03-28 13:35:32,20,14
2025-03-28 13:35:33,20,14
2025-03-28 13:35:34,20,13
2025-03-28 13:35:35,20,14
2025-03-28 13:35:36,20,14
2025-03-28 13:35:37,20,14
2025-03-28 13:35:38,20,13
2025-03-28 13:35:39,20,14
2025-03-28 13:35:40,20,14
2025-03-28 13:35:41,20,14
2025-03-28 13:35:42,19,14
2025-03-28 13:35:43,20,14
2025-03-28 13:35:44,20,14
2025-03-28 13:35:45,20,14
2025-03-28 13:35:46,20,14
2025-03-28 13:35:47,19,14
2025-03-28 13:35:48,20,14
2025-03-28 13:35:49,19,14
2025-03-28 13:35:50,20,14
2025-03-28 13:35:51,20,14
2025-03-28 13:35:52,20,14
2025-03-28 13:35:53,20,14
2025-03-28 13:35:54,20,13
2025-03-28 13:35:55,20,14
2025-03-28 13:35:56,20,14
2025-03-28 13:35:57,20,14
2025-03-28 13:35:58,20,14
2025-03-28 13:35:59,20,15
2025-03-28 13:36:00,20,14
2025-03-28 13:36:01,20,14
2025-03-28 13:36:02,20,14
2025-03-28 13:36:03,20,15
2025-03-28 13:36:05,20,14
2025-03-28 13:36:06,20,14
2025-03-28 13:36:07,20,14
2025-03-28 13:36:08,20,14
2025-03-28 13:36:09,20,14
2025-03-28 13:36:10,20,14
2025-03-28 13:36:11,20,14
2025-03-28 13:36:12,20,14
2025-03-28 13:36:13,20,15
2025-03-28 13:36:14,20,14
2025-03-28 13:36:15,20,15
2025-03-28 13:36:16,20,14
2025-03-28 13:36:17,20,14
2025-03-28 13:36:18,20,14
2025-03-28 13:36:19,20,15
2025-03-28 13:36:20,20,14
2025-03-28 13:36:21,21,14
2025-03-28 13:36:22,21,14
2025-03-28 13:36:23,21,14
2025-03-28 13:36:24,20,14
2025-03-28 13:36:25,20,14
2025-03-28 13:36:26,20,14
2025-03-28 13:36:27,20,14
2025-03-28 13:36:28,21,14
2025-03-28 13:36:29,20,14
2025-03-28 13:36:30,20,14
2025-03-28 13:36:31,21,14
2025-03-28 13:36:32,21,14
2025-03-28 13:36:33,21,14
2025-03-28 13:36:34,20,14
2025-03-28 13:36:35,20,14
2025-03-28 13:36:36,20,14
2025-03-28 13:36:37,20,14
2025-03-28 13:36:38,20,14
2025-03-28 13:36:39,20,14
2025-03-28 13:36:40,21,14
2025-03-28 13:36:41,20,14
2025-03-28 13:36:42,20,14
2025-03-28 13:36:43,21,14
2025-03-28 13:36:44,20,15
2025-03-28 13:36:45,20,14
2025-03-28 13:36:46,20,14
2025-03-28 13:36:47,20,14
2025-03-28 13:36:49,20,14
2025-03-28 13:36:50,20,14
2025-03-28 13:36:51,20,14
2025-03-28 13:36:52,20,14
2025-03-28 13:36:53,20,14
2025-03-28 13:36:54,20,14
2025-03-28 13:36:55,20,14
2025-03-28 13:36:56,20,14
2025-03-28 13:36:57,20,14
2025-03-28 13:36:58,20,14
2025-03-28 13:36:59,20,14
2025-03-28 13:37:00,20,14
2025-03-28 13:37:01,20,14
2025-03-28 13:37:02,20,14
2025-03-28 13:37:03,20,14
2025-03-28 13:37:04,20,14
2025-03-28 13:37:05,20,14
2025-03-28 13:37:06,20,15
2025-03-28 13:37:07,20,14
2025-03-28 13:37:08,20,14
2025-03-28 13:37:09,21,14
2025-03-28 13:37:10,20,14
2025-03-28 13:37:11,20,14
2025-03-28 13:37:12,20,14
2025-03-28 13:37:13,20,14
2025-03-28 13:37:14,20,14
2025-03-28 13:37:15,20,14
2025-03-28 13:37:16,20,14
2025-03-28 13:37:17,20,14
2025-03-28 13:37:18,20,14
2025-03-28 13:37:19,20,14
2025-03-28 13:37:20,20,14
2025-03-28 13:37:21,19,13
2025-03-28 13:37:22,20,14
2025-03-28 13:37:23,20,14
2025-03-28 13:37:24,20,13
2025-03-28 13:37:25,20,14
2025-03-28 13:37:26,20,14
2025-03-28 13:37:27,20,14
2025-03-28 13:37:28,20,14
2025-03-28 13:37:29,20,14
2025-03-28 13:37:30,19,14
2025-03-28 13:37:31,20,14
2025-03-28 13:37:32,20,14
2025-03-28 13:37:33,19,14
2025-03-28 13:37:35,20,14
2025-03-28 13:37:36,20,14
2025-03-28 13:37:37,20,14
2025-03-28 13:37:38,20,14
2025-03-28 13:37:39,20,14
2025-03-28 13:37:40,20,14
2025-03-28 13:37:41,20,14
2025-03-28 13:37:42,20,15
2025-03-28 13:37:43,20,14
2025-03-28 13:37:44,20,14
2025-03-28 13:37:45,20,14
2025-03-28 13:37:46,20,15
2025-03-28 13:37:47,20,14
2025-03-28 13:37:48,20,14
2025-03-28 13:37:49,20,15
2025-03-28 13:37:50,20,16
2025-03-28 13:37:51,20,14
2025-03-28 13:37:52,20,14
2025-03-28 13:37:53,20,14
2025-03-28 13:37:54,20,14
2025-03-28 13:37:55,20,14
2025-03-28 13:37:56,20,14
2025-03-28 13:37:57,20,14
2025-03-28 13:37:58,21,14
2025-03-28 13:37:59,20,14
2025-03-28 13:38:00,21,14
2025-03-28 13:38:01,20,14
2025-03-28 13:38:02,20,14
2025-03-28 13:38:03,20,14
2025-03-28 13:38:04,21,14
2025-03-28 13:38:05,21,13
2025-03-28 13:38:06,21,14
2025-03-28 13:38:07,21,14
2025-03-28 13:38:08,21,14
2025-03-28 13:38:09,21,14
2025-03-28 13:38:10,21,14
2025-03-28 13:38:11,21,14
2025-03-28 13:38:12,21,14
2025-03-28 13:38:13,21,14
2025-03-28 13:38:14,21,14
2025-03-28 13:38:15,21,15
2025-03-28 13:38:16,21,14
2025-03-28 13:38:18,22,14
2025-03-28 13:38:19,21,14
2025-03-28 13:38:20,21,14
2025-03-28 13:38:21,21,14
2025-03-28 13:38:22,21,14
2025-03-28 13:38:23,21,14
2025-03-28 13:38:24,21,14
2025-03-28 13:38:25,21,14
2025-03-28 13:38:26,21,14
2025-03-28 13:38:27,21,14
2025-03-28 13:38:28,21,12
2025-03-28 13:38:29,21,14
2025-03-28 13:38:30,21,14
2025-03-28 13:38:31,21,14
2025-03-28 13:38:32,21,14
2025-03-28 13:38:33,21,14
2025-03-28 13:38:34,21,14
2025-03-28 13:38:35,21,14
2025-03-28 13:38:36,21,14
2025-03-28 13:38:37,21,14
2025-03-28 13:38:38,21,13
2025-03-28 13:38:39,21,14
2025-03-28 13:38:40,21,14
2025-03-28 13:38:41,21,13
2025-03-28 13:38:42,21,14
2025-03-28 13:38:43,21,14
2025-03-28 13:38:44,21,14
2025-03-28 13:38:45,21,14
2025-03-28 13:38:46,21,14
2025-03-28 13:38:47,21,14
2025-03-28 13:38:48,21,14
2025-03-28 13:38:49,21,14
2025-03-28 13:38:50,21,14
2025-03-28 13:38:51,22,14
2025-03-28 13:38:52,21,14
2025-03-28 13:38:53,21,14
2025-03-28 13:38:54,21,14
2025-03-28 13:38:55,21,14
2025-03-28 13:38:56,21,14
2025-03-28 13:38:58,21,14
2025-03-28 13:38:59,20,14
2025-03-28 13:39:00,21,14
2025-03-28 13:39:01,21,14
2025-03-28 13:39:02,21,14
2025-03-28 13:39:03,21,14
2025-03-28 13:39:04,21,14
2025-03-28 13:39:05,21,14
2025-03-28 13:39:06,21,14
2025-03-28 13:39:07,21,14
2025-03-28 13:39:08,21,14
2025-03-28 13:39:09,21,14
2025-03-28 13:39:10,21,13
2025-03-28 13:39:11,21,14
2025-03-28 13:39:12,20,14
2025-03-28 13:39:13,21,14
2025-03-28 13:39:14,21,14
2025-03-28 13:39:15,21,14
2025-03-28 13:39:16,21,14
2025-03-28 13:39:17,21,14
2025-03-28 13:39:18,21,14
2025-03-28 13:39:19,21,14
2025-03-28 13:39:20,21,14
2025-03-28 13:39:21,21,13
2025-03-28 13:39:22,21,14
2025-03-28 13:39:23,21,14
2025-03-28 13:39:24,21,14
2025-03-28 13:39:25,21,14
2025-03-28 13:39:26,21,14
2025-03-28 13:39:27,21,14
2025-03-28 13:39:28,21,14
2025-03-28 13:39:29,21,14
2025-03-28 13:39:31,21,14
2025-03-28 13:39:32,21,13
2025-03-28 13:39:33,21,14
2025-03-28 13:39:34,21,14
2025-03-28 13:39:35,21,14
2025-03-28 13:39:36,21,14
2025-03-28 13:39:37,21,15
2025-03-28 13:39:38,21,14
2025-03-28 13:39:39,21,15
2025-03-28 13:39:40,21,14
2025-03-28 13:39:41,21,14
2025-03-28 13:39:42,21,15
2025-03-28 13:39:43,21,14
2025-03-28 13:39:44,21,15
2025-03-28 13:39:45,21,14
2025-03-28 13:39:46,21,14
2025-03-28 13:39:47,21,14
2025-03-28 13:39:48,21,14
2025-03-28 13:39:49,21,14
2025-03-28 13:39:50,21,14
2025-03-28 13:39:51,21,14
2025-03-28 13:39:52,21,14
2025-03-28 13:39:53,21,14
2025-03-28 13:39:54,21,14
2025-03-28 13:39:55,21,14
2025-03-28 13:39:56,21,14
2025-03-28 13:39:57,21,14
2025-03-28 13:39:58,21,14
2025-03-28 13:39:59,21,14
2025-03-28 13:40:00,21,14
2025-03-28 13:40:01,21,14
2025-03-28 13:40:02,21,14
2025-03-28 13:40:03,21,14
2025-03-28 13:40:04,21,14
2025-03-28 13:40:05,21,14
2025-03-28 13:40:06,21,14
2025-03-28 13:40:07,21,15
2025-03-28 13:40:08,21,14
2025-03-28 13:40:09,21,14
2025-03-28 13:40:11,20,14
2025-03-28 13:40:12,21,14
2025-03-28 13:40:13,21,14
2025-03-28 13:40:14,21,14
2025-03-28 13:40:15,21,15
2025-03-28 13:40:16,21,15
2025-03-28 13:40:17,21,15
2025-03-28 13:40:18,21,14
2025-03-28 13:40:19,21,15
2025-03-28 13:40:20,21,15
2025-03-28 13:40:21,21,14
2025-03-28 13:40:22,21,14
2025-03-28 13:40:23,21,14
2025-03-28 13:40:24,20,15
2025-03-28 13:40:25,21,14
2025-03-28 13:40:26,21,14
2025-03-28 13:40:27,21,15
2025-03-28 13:40:28,21,14
2025-03-28 13:40:29,21,15
2025-03-28 13:40:30,21,14
2025-03-28 13:40:31,21,15
2025-03-28 13:40:32,21,14
2025-03-28 13:40:33,21,14
2025-03-28 13:40:34,21,14
2025-03-28 13:40:35,21,15
2025-03-28 13:40:36,20,15
2025-03-28 13:40:37,21,15
2025-03-28 13:40:38,21,15
2025-03-28 13:40:39,21,15
2025-03-28 13:40:40,21,15
2025-03-28 13:40:41,21,15
2025-03-28 13:40:42,21,16
2025-03-28 13:40:43,21,15
2025-03-28 13:40:44,21,16
2025-03-28 13:40:45,20,15
2025-03-28 13:40:46,21,16
2025-03-28 13:40:47,20,17
2025-03-28 13:40:48,21,16
2025-03-28 13:40:49,21,17
2025-03-28 13:40:50,21,16
2025-03-28 13:40:52,21,16
2025-03-28 13:40:53,21,16
2025-03-28 13:40:54,21,16
2025-03-28 13:40:55,21,16
2025-03-28 13:40:56,20,16
2025-03-28 13:40:57,21,16
2025-03-28 13:40:58,20,16
2025-03-28 13:40:59,20,17
2025-03-28 13:41:00,20,16
2025-03-28 13:41:01,21,17
2025-03-28 13:41:02,21,17
2025-03-28 13:41:03,21,17
2025-03-28 13:41:04,21,17
2025-03-28 13:41:05,21,17
2025-03-28 13:41:06,20,17
2025-03-28 13:41:07,21,17
2025-03-28 13:41:08,21,17
2025-03-28 13:41:09,21,17
2025-03-28 13:41:10,21,17
2025-03-28 13:41:11,21,15
2025-03-28 13:41:12,21,17
2025-03-28 13:41:13,20,17
2025-03-28 13:41:14,21,17
2025-03-28 13:41:15,20,17
2025-03-28 13:41:16,20,17
2025-03-28 13:41:17,20,17
2025-03-28 13:41:18,21,17
2025-03-28 13:41:19,20,17
2025-03-28 13:41:20,21,17
2025-03-28 13:41:21,21,17
2025-03-28 13:41:22,21,17
2025-03-28 13:41:23,21,17
2025-03-28 13:41:24,21,17
2025-03-28 13:41:25,21,17
2025-03-28 13:41:26,21,17
2025-03-28 13:41:27,21,17
2025-03-28 13:41:28,21,17
2025-03-28 13:41:29,20,17
2025-03-28 13:41:30,21,17
2025-03-28 13:41:31,20,17
2025-03-28 13:41:32,21,18
2025-03-28 13:41:33,21,17
2025-03-28 13:41:34,20,17
2025-03-28 13:41:35,21,18
2025-03-28 13:41:36,21,17
2025-03-28 13:41:38,21,17
2025-03-28 13:41:39,21,18
2025-03-28 13:41:40,21,17
2025-03-28 13:41:41,21,17
2025-03-28 13:41:42,21,17
2025-03-28 13:42:03,21,17
2025-03-28 13:42:03,20,18
2025-03-28 13:42:04,21,18
2025-03-28 13:42:05,21,18
2025-03-28 13:42:06,21,18
2025-03-28 13:42:07,21,17
2025-03-28 13:42:08,21,18
2025-03-28 13:42:09,21,18
2025-03-28 13:42:10,21,18
2025-03-28 13:42:11,20,18
2025-03-28 13:42:12,21,18
2025-03-28 13:42:13,21,18
2025-03-28 13:42:14,21,18
2025-03-28 13:42:16,21,18
2025-03-28 13:42:17,21,18
2025-03-28 13:42:18,21,18
2025-03-28 13:42:19,21,18
2025-03-28 13:42:20,21,18
2025-03-28 13:42:21,21,18
2025-03-28 13:42:22,21,18
2025-03-28 13:42:23,21,18
2025-03-28 13:42:24,21,18
2025-03-28 13:42:25,21,18
2025-03-28 13:42:26,21,18
2025-03-28 13:42:27,21,18
2025-03-28 13:42:28,21,18
2025-03-28 13:42:29,21,18
2025-03-28 13:42:30,21,18
2025-03-28 13:42:33,21,18
2025-03-28 13:42:34,21,18
2025-03-28 13:42:35,21,18
2025-03-28 13:42:36,21,18
2025-03-28 13:42:37,21,18
2025-03-28 13:42:38,21,18
2025-03-28 13:42:39,21,19
